source,target
0,8334
0,4692
0,4470
0,8344
0,3775
0,8216
0,460
1,85
1,9212
1,4560
1,2431
1,7525
1,4617
1,8364
1,4516
1,1783
1,1
2,5509
2,8711
2,8681
2,6054
2,2981
2,4333
3,3602
3,3889
3,907
3,5721
3,6484
3,5376
3,3
4,3580
4,324
4,754
4,3396
4,1686
4,3037
4,8563
4,6151
4,8768
4,7894
5,1318
5,8898
5,7858
5,8142
5,7851
5,4164
5,1677
5,2005
5,1789
5,1333
5,1140
5,8872
5,7754
5,5610
5,25
5,171
5,2344
6,3721
6,5443
6,4604
6,3088
6,5496
6,3174
6,2567
7,5620
7,2541
7,8232
7,5532
7,4903
7,6180
7,6191
7,8495
7,4956
7,3337
7,5576
7,8944
7,91
7,8589
7,2887
7,846
7,5227
7,8669
7,4641
7,1197
7,6938
7,6321
8,627
8,7396
8,1309
8,9131
8,968
8,1410
8,2549
8,8621
8,8
9,5247
9,4394
9,8961
9,3617
9,2673
9,7527
9,6631
9,3385
10,5164
10,5022
10,5349
10,3071
10,3780
10,6012
10,7908
10,1391
10,1194
10,1744
10,7068
10,5537
10,5906
10,1830
10,517
10,3684
10,4144
10,1025
10,6538
11,5091
11,9024
11,6096
11,5154
11,4737
11,5729
11,8966
11,468
11,3437
11,1187
11,9041
11,7027
11,8449
11,8731
11,5694
11,593
12,105
12,6057
12,6988
12,3283
12,1707
12,6922
12,9205
12,7669
12,461
12,7129
12,4166
13,6088
13,13
14,4603
14,2611
14,4959
14,6607
14,5863
14,541
14,4016
14,4152
14,4974
14,520
14,4559
14,6519
14,5333
14,6110
14,7496
14,6269
14,7618
14,565
14,185
14,1575
14,2132
14,8811
14,4931
14,1050
14,7097
14,8754
14,1832
14,3574
14,8447
14,3765
14,8309
14,8796
15,4598
15,6273
15,7850
15,8891
15,8075
15,632
15,4550
15,4589
16,4494
16,2292
16,8721
16,5168
16,7233
16,8672
16,1063
16,181
16,16
17,7991
17,803
17,7551
17,2178
17,2774
17,3373
17,8783
17,4160
17,3374
17,584
17,32
17,1532
17,8320
17,4446
17,3116
17,4289
17,1676
17,2881
17,1767
17,3737
17,2477
17,7011
17,7167
17,5768
17,1272
17,1616
17,2154
17,2290
17,6952
17,4721
17,2661
17,4339
17,366
17,5495
17,498
17,270
17,3839
17,2844
17,4371
17,2672
17,6544
17,1084
17,6029
17,269
17,1614
17,6876
17,759
17,5053
17,2453
17,4670
17,5853
17,1729
17,3974
17,6547
17,2599
17,3477
17,798
17,4599
17,3209
17,8396
17,2082
17,3658
17,7877
17,3715
17,7323
17,3069
17,7784
17,1951
17,1418
17,1048
17,6832
17,1509
17,5843
17,2620
17,1886
17,3274
17,1534
17,2298
17,2271
17,5117
17,3869
17,8584
17,5763
17,440
17,1415
17,7767
17,234
17,4876
17,7109
17,3833
17,1813
17,6041
17,2150
17,4275
17,6679
17,5173
17,9175
17,3004
17,1166
17,5416
17,5475
17,4569
17,4640
17,8251
17,3076
17,1558
17,414
17,5873
17,2778
17,7710
17,4234
17,4593
17,6315
17,401
17,7160
17,982
17,623
17,6186
17,5162
17,8362
17,5006
17,8774
17,3294
17,7373
17,2157
17,8817
17,614
17,2728
17,7253
17,8926
17,8981
17,6245
17,5541
17,722
17,407
17,6181
17,4588
17,7170
17,8050
17,9030
17,8582
17,1905
17,9082
17,3538
17,6874
17,7557
17,4314
17,8962
17,3189
17,4707
17,7130
17,1036
17,5242
17,8038
17,7537
17,258
17,6021
17,7632
17,3363
17,5160
17,7065
17,6501
17,1183
17,8301
17,5866
17,7376
17,6749
17,1070
17,5816
17,1699
17,5725
17,7350
17,4761
17,6943
17,4429
17,8876
17,121
17,8923
17,9185
17,8375
17,4078
17,7926
17,5604
17,3098
17,2306
17,2070
17,7963
17,3453
17,1728
17,5078
17,4340
17,1913
17,6647
17,5479
17,7342
17,6897
17,9219
17,7790
17,267
17,1030
17,6866
17,3123
17,1241
17,6328
17,5971
17,2473
17,1909
17,5946
17,8397
17,3097
17,6131
17,3750
17,8191
17,8695
17,3282
17,5546
17,7995
17,814
17,6616
17,1236
17,7243
17,2779
17,6908
17,3318
17,4982
17,731
17,2405
17,2910
17,1014
17,5096
17,8022
18,1641
18,1127
18,7338
18,129
18,9021
18,7474
18,6081
18,804
18,8560
19,8385
19,6139
19,8404
19,7911
19,8845
19,5264
19,1364
19,2552
19,5957
19,1949
20,5087
20,9063
20,1013
20,612
20,2387
20,6706
20,120
20,158
20,4170
20,8004
20,8924
20,4824
20,3772
20,6059
20,4439
20,7136
21,3006
21,1756
21,1136
21,4116
21,5972
21,8235
21,2929
21,5727
21,3232
21,6398
21,6119
21,1193
21,805
21,2733
21,4839
21,3223
21,7406
21,824
21,3021
21,4812
21,1229
21,1011
21,1465
21,5684
21,3495
21,2183
21,4220
21,5256
21,2635
22,7630
22,8348
22,7701
22,8384
22,8300
22,8186
23,2062
23,4878
23,2756
23,4726
23,3087
23,3805
23,2031
23,6514
23,1531
23,7695
23,4440
23,6182
23,3864
23,7568
23,1135
24,377
24,2827
24,1265
24,2664
24,5757
24,2124
24,3315
24,4991
24,3657
24,2838
24,4951
24,3083
24,3042
24,4899
24,719
25,5610
25,171
25,1140
25,2344
26,1365
26,3652
26,1033
26,8133
26,6117
26,5266
26,8619
26,4252
27,488
27,1185
27,3053
27,7422
27,1809
27,6981
27,920
27,1133
27,1747
27,4762
27,1167
27,2085
28,4086
28,8696
28,2551
28,6660
28,8078
28,5788
28,7079
28,4784
28,1268
28,4806
29,1706
29,7561
29,993
29,6640
29,4184
29,1820
29,5005
29,5244
29,7209
29,7456
29,444
29,7261
29,29
30,940
30,8152
30,3727
30,3262
30,6418
30,1661
30,5028
30,865
30,30
31,5552
31,7262
31,3553
31,7202
31,7647
31,4913
31,4417
31,6194
32,2774
32,3373
32,8783
32,4160
32,3374
32,584
32,1532
32,8320
32,4446
32,3116
32,4289
32,1676
32,2881
32,1767
32,3737
32,2477
32,7011
32,7167
32,5768
32,1272
32,1616
32,2154
32,2290
32,6952
32,4721
32,2661
32,4339
32,366
32,5495
32,498
32,270
32,3839
32,2844
32,4371
32,2672
32,6544
32,1084
32,6029
32,269
32,1614
32,6876
32,759
32,5053
32,2453
32,4670
32,5853
32,1729
32,3974
32,6547
32,2599
32,3477
32,798
32,4599
32,3209
32,8396
32,2082
32,3658
32,7877
32,3715
32,7323
32,3069
32,7784
32,1951
32,1418
32,1048
32,6832
32,1509
32,5843
32,2620
32,1886
32,3274
32,1534
32,2298
32,2271
32,5117
32,3869
32,8584
32,5763
32,440
32,1415
32,7767
32,234
32,4876
32,7109
32,3833
32,1813
32,6041
32,2150
32,4275
32,6679
32,5173
32,9175
32,3004
32,1166
32,5416
32,5475
32,4569
32,4640
32,8251
32,3076
32,1558
32,414
32,5873
32,2778
32,7710
32,4234
32,4593
32,6315
32,401
32,7160
32,982
32,623
32,6186
32,5162
32,8362
32,5006
32,8774
32,3294
32,7373
32,2157
32,8817
32,614
32,2728
32,7253
32,8926
32,8981
32,1183
32,7376
32,5541
32,969
32,722
32,407
32,5816
32,1699
32,5725
